Ordem,ID,Versão,Sprint,Componente,Forma de integração,Tipo,Tarefa,Passo de execução,Artefato a produzir,Critério de aceite,Dependências,Requisitos,Status,Prioridade na versão,Risco,Aplicabilidade,Responsável,Revisor humano,Data de aceite,Evidência exigida,Evidência obtida,ADR / justificativa,Fechamento,Observações
213,SL-S20-04,v0.4.0,S20,BlockSuite / Peça,Integração,Implementação,Criar painel dockado,Abrir/retrair/redimensionar respeitando largura e foco do canvas.,apps/desktop/src/piece/dock.ts,Redimensionar não altera conteúdo nem dispara eventos espaciais de cartões.,SL-S20-03,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-04.md,,,PENDENTE,
214,SL-S20-05,v0.4.0,S20,BlockSuite / Peça,Integração,Implementação,Criar outline e navegação,Derivar headings da Peça e navegar por blocos estáveis.,apps/desktop/src/piece/outline.ts,Reordenar headings atualiza navegação sem quebrar IDs de citações preservados.,SL-S20-04,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-05.md,,,PENDENTE,
215,SL-S20-06,v0.4.0,S20,BlockSuite / Peça,Integração,Implementação,Integrar autosave editorial,Usar fila do Core e estado claro de publicação durável.,apps/desktop/src/piece/save.ts,Fechar painel não destrói edição pendente; conflito externo usa o mesmo protocolo.,SL-S20-05,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-06.md,,,PENDENTE,
216,SL-S20-07,v0.4.0,S20,BlockSuite / Peça,Integração,Implementação,Criar estados de produção,"Rascunho/finalizado ou estados aprovados, sem impor workflow excessivo.",crates/piece/src/editorial_state.rs,Estado é metadado canônico e não depende do índice de busca.,SL-S20-06,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-07.md,,,PENDENTE,
217,SL-S20-08,v0.4.0,S20,BlockSuite / Peça,Integração,Implementação,Preparar área de copiloto,"Criar região de propostas desativada sem modelo, sem bloquear editor.",apps/desktop/src/piece/copilot-shell.ts,Ausência de IA mantém funcionalidade editorial completa.,SL-S20-07,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-08.md,,,PENDENTE,
218,SL-S20-09,v0.4.0,S20,BlockSuite / Peça,Integração,Teste,Testar documentos longos,"Abrir Peças com listas, tabelas e citações além da viewport.",tests/piece/long-documents/,Salvamento/exportação inclui todo o documento e não só blocos montados.,SL-S20-08,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-09.md,,,PENDENTE,
219,SL-S20-10,v0.4.0,S20,BlockSuite / Peça,Integração,Teste,Validar edição simultânea de contextos,Alternar foco Mesa/Peça e inspecionar revisões.,reports/piece/focus-and-save.md,Comando de uma área não modifica documento da outra.,SL-S20-09,R04; R10; R13; R31,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S20/SL-S20-10.md,,,PENDENTE,
220,SL-S20-GATE,v0.4.0,S20,BlockSuite / Peça,Aceite humano,Gate,Aceitar S20 — Construir editor da Peça e layout editorial,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S20/acceptance.md,Abrir Peça vinculada ao workspace e editar enquanto consulta células. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S20-01; SL-S20-02; SL-S20-03; SL-S20-04; SL-S20-05; SL-S20-06; SL-S20-07; SL-S20-08; SL-S20-09; SL-S20-10,R04; R10; R13; R31,Não iniciado,P0,Alto,Obrigatória para fechar a versão aprovada,Autor,,,reports/S20/acceptance.md,,,PENDENTE,
221,SL-S21-01,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Contrato,Definir evento de inserção,"Registrar célula/revisão, fragmento, evidência e bloco de destino.",schemas/cell-forked-into-piece.json,Referência não se resume a ID+data e pode apontar ao texto efetivamente inserido.,SL-S17-GATE; SL-S20-GATE,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-01.md,,,PENDENTE,
222,SL-S21-02,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Capturar snapshot da seleção,Resolver conteúdo na revisão exata antes de clonar.,crates/provenance/src/snapshot.rs,Edição concorrente da célula não altera o fragmento entre preview e confirmação.,SL-S21-01,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-02.md,,,PENDENTE,
223,SL-S21-03,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Clonar blocos com nova identidade,Gerar IDs de destino e manter origem separada.,crates/piece/src/fork_insert.rs,Editar Peça não escreve de volta na célula e vice-versa.,SL-S21-02,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-03.md,,,PENDENTE,
224,SL-S21-04,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Persistir texto citado e hash,Conservar trecho e localizador correspondente no formato aprovado.,crates/provenance/src/quote.rs,Texto citado pode ser verificado mesmo depois de renomear arquivo original.,SL-S21-03,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-04.md,,,PENDENTE,
225,SL-S21-05,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Encadear fonte primária,Propagar referências de recorte até material/asset original quando existentes.,crates/provenance/src/chain.rs,Célula derivada não é apresentada como fonte primária independente.,SL-S21-04,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-05.md,,,PENDENTE,
226,SL-S21-06,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Renderizar citações clicáveis,"Navegar ao trecho/revisão, com estado para fonte ausente.",apps/desktop/src/piece/citations.ts,Clique não abre path externo sem autorização nem substitui silenciosamente revisão antiga.,SL-S21-05,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-06.md,,,PENDENTE,
227,SL-S21-07,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Tratar atualização da fonte,"Mostrar divergência e oferecer comparação, sem atualização automática da Peça.",apps/desktop/src/piece/source-diff.ts,Mudança posterior da fonte não modifica a citação histórica.,SL-S21-06,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-07.md,,,PENDENTE,
228,SL-S21-08,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Implementação,Reverter inserção,Desfazer blocos e vínculos do mesmo evento preservando histórico.,crates/piece/src/undo_insert.rs,Undo não remove citações/assets ainda usados por outro trecho.,SL-S21-07,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-08.md,,,PENDENTE,
229,SL-S21-09,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Teste,Testar cadeias e duplicações,Inserir mesma célula várias vezes e citar recortes aninhados.,tests/provenance/fork/,Cada ocorrência possui destino próprio e origem inequívoca.,SL-S21-08,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-09.md,,,PENDENTE,
230,SL-S21-10,v0.4.0,S21,ProvenanceStore / Peça,Próprio,Teste,Verificar referências após reconstrução,Apagar DB e caches editoriais e resolver todas as citações.,reports/provenance/rebuild.json,Cadeia é reconstruível exclusivamente dos arquivos e objetos canônicos.,SL-S21-09,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S21/SL-S21-10.md,,,PENDENTE,
231,SL-S21-GATE,v0.4.0,S21,ProvenanceStore / Peça,Aceite humano,Gate,Aceitar S21 — Implementar fork-on-insert e cadeia de evidências,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S21/acceptance.md,"Arrastar célula, editar a fonte e comprovar que a Peça conserva o trecho inserido. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S21-01; SL-S21-02; SL-S21-03; SL-S21-04; SL-S21-05; SL-S21-06; SL-S21-07; SL-S21-08; SL-S21-09; SL-S21-10,R02; R05; R13; R37,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S21/acceptance.md,,,PENDENTE,
232,SL-S22-01,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Criar navegação entre Peças,Listar por workspace e manter contexto de consulta à Mesa.,apps/desktop/src/piece/library.ts,Uma Peça não some quando seu painel é fechado ou o board é arquivado.,SL-S20-GATE; SL-S21-GATE,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-01.md,,,PENDENTE,
233,SL-S22-02,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Exibir histórico semântico,"Mostrar edições, inserções e autoria automática/humana.",apps/desktop/src/history/,Cada entrada resolve revisão válida e não depende exclusivamente de audit_log.db.,SL-S22-01,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-02.md,,,PENDENTE,
234,SL-S22-03,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Comparar revisões editoriais,Mostrar mudanças de texto/metadados e permitir restauração como nova revisão.,apps/desktop/src/piece/revision-diff.ts,Restaurar não apaga a linha temporal nem referências necessárias.,SL-S22-02,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-03.md,,,PENDENTE,
235,SL-S22-04,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Exportar Markdown portátil,Resolver caminhos relativos e incluir referências/manifest conforme perfil.,crates/export/src/markdown.rs,Arquivo exportado abre em editor comum e preserva texto/citações suportados.,SL-S22-03,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-04.md,,,PENDENTE,
236,SL-S22-05,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Exportar pacote de pesquisa,"Agrupar Peça, fontes autorizadas e mapa de proveniência opcional.",crates/export/src/research_bundle.rs,Export respeita escopo e não inclui todo o Vault por conveniência.,SL-S22-04,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-05.md,,,PENDENTE,
237,SL-S22-06,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Criar snapshot de backup local,Gerar cópia consistente com manifest e hashes sem rotina remota.,crates/backup/src/snapshot.rs,Snapshot valida após alterações posteriores no Vault ativo.,SL-S22-05,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-06.md,,,PENDENTE,
238,SL-S22-07,v0.4.0,S22,Peça / autoria completa,Próprio,Implementação,Criar restauração de ensaio,Restaurar em diretório novo com confirmação e validação.,crates/backup/src/restore.rs,Nenhum arquivo existente é sobrescrito silenciosamente.,SL-S22-06,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-07.md,,,PENDENTE,
239,SL-S22-08,v0.4.0,S22,Peça / autoria completa,Próprio,Teste,Validar ciclo integral offline,"Capturar nota manual, organizar, inserir na Peça, revisar e exportar com rede bloqueada.",reports/v0.4/offline-journey.md,Todos os passos essenciais funcionam sem credenciais/modelos.,SL-S22-07,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-08.md,,,PENDENTE,
240,SL-S22-09,v0.4.0,S22,Peça / autoria completa,Próprio,Teste,Executar recuperação de autoria,"Interromper durante inserção e restauração, depois reconstruir caches.",tests/piece/recovery/,"Operação fica anterior ou recuperável, nunca com texto e citação divergentes sem detecção.",SL-S22-08,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S22/SL-S22-09.md,,,PENDENTE,
241,SL-S22-10,v0.4.0,S22,Peça / autoria completa,Próprio,Release,Publicar alpha funcional local,Documentar limitações e preparar pacote com evidências.,release/v0.4.0/,Mantenedor consegue usar o app para trabalho real sem habilitar funcionalidades ainda não seguras.,SL-S22-09,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S22/SL-S22-10.md,,,PENDENTE,
242,SL-S22-GATE,v0.4.0,S22,Peça / autoria completa,Aceite humano,Gate,"Aceitar S22 — Entregar produção local, histórico e exportação","Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S22/acceptance.md,"Produzir ensaio local, recuperar uma revisão e exportar texto com fontes. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S22-01; SL-S22-02; SL-S22-03; SL-S22-04; SL-S22-05; SL-S22-06; SL-S22-07; SL-S22-08; SL-S22-09; SL-S22-10,R02; R05; R07; R13; R29; R31,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S22/acceptance.md,,,PENDENTE,
243,SL-S23-01,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Decisão,Aprovar protocolo e isolamento,Resolver ADR-009; selecionar pipes/sockets/API local e escopo por tarefa.,docs/adr/009-workers.md,Processo auxiliar não compartilha implicitamente todos os direitos do Core.,SL-S09-GATE; SL-S11-GATE; SL-S22-GATE,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S23/SL-S23-01.md,,,PENDENTE,
244,SL-S23-02,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Contrato,Definir envelope de job,"Incluir IDs, revisão, input_refs, capacidade, orçamento, deadline e cancelamento.",schemas/job-v0.json,Job de revisão antiga é distinguível; payload inválido não inicia worker.,SL-S23-01,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-02.md,,,PENDENTE,
245,SL-S23-03,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Implementar fila e estados,"Planejar pendente, em execução, retry, cancelado, bloqueado e concluído.",crates/jobs/src/state.rs,Reinício não duplica efeitos nem perde captura associada ao job.,SL-S23-02,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-03.md,,,PENDENTE,
246,SL-S23-04,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Criar transporte local,"Fazer handshake, versão, limites de mensagem e identificação do processo.",crates/workers/src/transport.rs,Worker incompatível é recusado antes de receber dados.,SL-S23-03,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-04.md,,,PENDENTE,
247,SL-S23-05,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Provisionar entradas restritas,Entregar handles/cópias snapshot e diretório temporário exclusivo.,crates/workers/src/inputs.rs,Worker não ganha o path do Vault inteiro como atalho.,SL-S23-04,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-05.md,,,PENDENTE,
248,SL-S23-06,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Validar resultados,"Checar esquema, hashes, revisão e destino antes de aceitar proposta.",crates/workers/src/results.rs,Resultado atrasado/malformado não publica conteúdo sobre revisão nova.,SL-S23-05,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-06.md,,,PENDENTE,
249,SL-S23-07,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Implementar cancelamento,"Encerrar tarefa, limpar temporários e controlar descendentes.",crates/workers/src/cancel.rs,Cancelamento não apaga originais nem deixa processo órfão conhecido.,SL-S23-06,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-07.md,,,PENDENTE,
250,SL-S23-08,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Implementar quotas,Aplicar limites de CPU/memória/bytes/tempo por perfil e registrar consumo.,crates/workers/src/budget.rs,Worker que excede perfil falha de modo recuperável com causa identificada.,SL-S23-07,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-08.md,,,PENDENTE,
251,SL-S23-09,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Implementação,Criar backoff/idempotência,"Repetir apenas erros recuperáveis, com limite e chave de tarefa.",crates/jobs/src/retry.rs,"Retry não duplica documentos, cobrança autorizada ou eventos autorais.",SL-S23-08,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-09.md,,,PENDENTE,
252,SL-S23-10,v0.5.0,S23,JobScheduler / WorkerHost,Próprio,Teste,Simular worker hostil,"Tentar path extra, resposta excessiva, processo filho e resposta fora de ordem.",tests/workers/protocol/,Harness demonstra rejeição e nenhuma mutação canônica não autorizada.,SL-S23-09,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S23/SL-S23-10.md,,,PENDENTE,
253,SL-S23-GATE,v0.5.0,S23,JobScheduler / WorkerHost,Aceite humano,Gate,Aceitar S23 — Construir protocolo e supervisor de workers,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S23/acceptance.md,"Worker de teste recebe snapshot autorizado, falha/reinicia e devolve proposta validada. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S23-01; SL-S23-02; SL-S23-03; SL-S23-04; SL-S23-05; SL-S23-06; SL-S23-07; SL-S23-08; SL-S23-09; SL-S23-10,R03; R05; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S23/acceptance.md,,,PENDENTE,
254,SL-S24-01,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Detectar recursos do kernel,"Verificar Landlock/ABI, seccomp e primitives necessárias antes de lançar job.",crates/sandbox/src/linux/probe.rs,Ausência de recurso obrigatório bloqueia a tarefa com explicação.,SL-S23-GATE,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-01.md,,,PENDENTE,
255,SL-S24-02,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Definir perfis mínimos,"Separar parser, inferência CPU/GPU e aquisição web.",sandbox/linux/profiles/,Um perfil com rede não é reaproveitado implicitamente para leitura de documentos privados.,SL-S24-01,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-02.md,,,PENDENTE,
256,SL-S24-03,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Aplicar restrição filesystem,Conceder leitura de entradas/modelos/libs e escrita apenas temporária.,crates/sandbox/src/linux/fs.rs,Diretório de outro workspace permanece inacessível mesmo com path conhecido.,SL-S24-02,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-03.md,,,PENDENTE,
257,SL-S24-04,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Aplicar política de syscalls,Reduzir superfície conforme perfil sem tratar Landlock como substituto de seccomp.,crates/sandbox/src/linux/syscalls.rs,Testes negativos de execução/processos e positivos das funções homologadas passam.,SL-S24-03,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-04.md,,,PENDENTE,
258,SL-S24-05,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Conter rede,Bloquear saída onde exigido e definir fronteira de broker para casos autorizados.,crates/sandbox/src/linux/network.rs,Worker local não pode contornar EgressPolicy usando sua própria biblioteca HTTP.,SL-S24-04,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-05.md,,,PENDENTE,
259,SL-S24-06,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Controlar árvore de processos,"Registrar descendentes, limites e encerramento em falha.",crates/sandbox/src/linux/process_tree.rs,Matar tarefa também encerra filhos autorizados e não concede criação ilimitada.,SL-S24-05,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-06.md,,,PENDENTE,
260,SL-S24-07,v0.5.0,S24,SandboxManager / Linux,Próprio,Implementação,Tratar GPU explicitamente,Documentar devices/driver necessários e negar acessos não necessários.,sandbox/linux/gpu-capabilities.yaml,Perfil CPU funciona sem GPU; perfil GPU não recebe filesystem geral por conveniência.,SL-S24-06,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-07.md,,,PENDENTE,
261,SL-S24-08,v0.5.0,S24,SandboxManager / Linux,Próprio,Teste,Exercitar escapes de filesystem,"Cobrir links, mounts disponíveis, descriptors herdados e temporários compartilhados.",tests/sandbox/linux/fs/,Sentinelas externas não são lidas/escritas; limitações são declaradas e bloqueadoras quando aplicável.,SL-S24-07,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-08.md,,,PENDENTE,
262,SL-S24-09,v0.5.0,S24,SandboxManager / Linux,Próprio,Teste,Exercitar rede/filhos,Usar serviços de teste locais e processo descendente tentando sair do perfil.,tests/sandbox/linux/process-network/,Proibições também valem para descendentes e não só para o PID inicial.,SL-S24-08,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-09.md,,,PENDENTE,
263,SL-S24-10,v0.5.0,S24,SandboxManager / Linux,Próprio,Documentação,Publicar matriz Linux,"Registrar kernel/arquitetura, capacidades e comportamentos desabilitados.",reports/sandbox/linux-matrix.md,Não se alega proteção idêntica em kernels não testados.,SL-S24-09,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S24/SL-S24-10.md,,,PENDENTE,
264,SL-S24-GATE,v0.5.0,S24,SandboxManager / Linux,Aceite humano,Gate,Aceitar S24 — Implementar perfis de sandbox Linux,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S24/acceptance.md,Worker sem rede não lê sentinela fora do escopo nem cria conexão externa. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S24-01; SL-S24-02; SL-S24-03; SL-S24-04; SL-S24-05; SL-S24-06; SL-S24-07; SL-S24-08; SL-S24-09; SL-S24-10,R01; R06; R08; R09,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S24/acceptance.md,,,PENDENTE,
265,SL-S25-01,v0.5.0,S25,SandboxManager / macOS,Próprio,Spike,Escolher mecanismo suportável,"Avaliar App Sandbox/helpers/XPC, assinatura e distribuição; registrar limites.",docs/security/macos-sandbox-design.md,Decisão não apresenta sandbox-exec deprecated como solução garantida de longo prazo.,SL-S23-GATE,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-01.md,,,PENDENTE,
266,SL-S25-02,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Criar helper restrito,Separar runtime confiável da comunicação com processos de parsing/inferência.,platform/macos/helper/,Helper não herda toda a API Tauri nem credenciais do processo principal.,SL-S25-01,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-02.md,,,PENDENTE,
267,SL-S25-03,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Definir entitlements,"Conceder somente arquivos, comunicação e recursos necessários por perfil.",platform/macos/entitlements/,Diferenças parser/inferência/web são visíveis e revisadas.,SL-S25-02,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-03.md,,,PENDENTE,
268,SL-S25-04,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Transferir entradas por capability,Resolver documentos selecionados e fontes aprovadas por broker.,crates/sandbox/src/macos/inputs.rs,Escopo do workspace não vira acesso geral ao diretório pessoal.,SL-S25-03,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-04.md,,,PENDENTE,
269,SL-S25-05,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Restringir saídas temporárias,Criar diretórios por tarefa e validar resultados no Core.,crates/sandbox/src/macos/output.rs,Worker não publica diretamente nos arquivos Markdown canônicos.,SL-S25-04,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-05.md,,,PENDENTE,
270,SL-S25-06,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Controlar rede/IPC,Separar conexão necessária ao runtime local de saída externa.,platform/macos/policies/,Modelo local não possui capacidade de egress externo não autorizada.,SL-S25-05,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-06.md,,,PENDENTE,
271,SL-S25-07,v0.5.0,S25,SandboxManager / macOS,Próprio,Implementação,Integrar ciclo de vida,Cancelar helpers e backends com cleanup e accounting.,crates/sandbox/src/macos/lifecycle.rs,Encerramento da tarefa não deixa runtime invisível consumindo recursos.,SL-S25-06,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-07.md,,,PENDENTE,
272,SL-S25-08,v0.5.0,S25,SandboxManager / macOS,Próprio,Teste,Executar adversarial nativo,"Testar leitura/gravação externa, redes e propagação a filhos.",tests/sandbox/macos/,"Aprovação requer resultado em macOS real/ambiente válido, não apenas compilação cross-target.",SL-S25-07,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-08.md,,,PENDENTE,
273,SL-S25-09,v0.5.0,S25,SandboxManager / macOS,Próprio,Teste,Validar empacotamento de helper,Testar assinatura/permissões e máquina sem ferramentas de desenvolvimento.,reports/sandbox/macos-package.md,Pacote inicia com privilégios documentados e não exige desativar proteção do sistema silenciosamente.,SL-S25-08,R01; R06; R08; R09; R30,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S25/SL-S25-09.md,,,PENDENTE,
